% aged 16-64 who are employees,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",% of economically inactive who do not want a job,% who are economically inactive - aged 16-64,% with NVQ4+ - aged 16-64,Economic activity rate - aged 16-64,Population estimates - Aged 65 and over (%),Claimants as a proportion of economically active residents aged 16+
63.4,11.3,76.1,21.9,50.9,78.1,20.3,7.2
65.1,6,75.3,23.4,60.4,76.6,20.1,5.6
66.6,11.1,72.4,15.8,46.2,84.2,25.8,6.5
68.3,9.5,84.1,21,44.7,79,18.9,8
65.4,9.3,73.1,20.6,38.8,79.4,22.5,6.9
60.2,12.2,82.2,28.5,41.9,71.5,21.2,9.3
72,12.8,87.8,20.8,50,79.2,18.8,7.4
67.3,7.1,79.2,22,42.6,78,21.6,6.7
62.7,12.7,81.4,28.7,41.5,71.3,22.7,12.3
70.1,9.1,47,13.7,38.2,86.3,23.8,4.2
62.4,7.6,71.2,20,43.7,80,24.8,7.3
66.9,7.7,92.1,24.8,35.7,75.2,20.4,4.8
63.6,12.5,77.7,24.1,48,75.9,25.5,9.8
66.7,11.4,72.5,20.1,43.2,79.9,19.6,8.5
64,7.7,82.8,23.2,53.6,76.8,19.4,6.8
65.8,9.1,73.6,23,52.3,77,15.8,8.4
70.7,11.2,74.7,18.3,54.7,81.7,19.6,5.5
62,11.7,84.2,22.8,48.5,77.2,25.9,7.9
66.5,8.3,78.4,22.8,65.8,77.2,15.1,7.2
69.8,7.5,65.5,19.4,50.3,80.6,18.9,8.5
68.5,14.9,85.1,23.2,39,76.8,18.8,11.2
65.7,8.4,71.9,22.9,41.2,77.1,16.6,7.5
64.2,10.8,79,25.1,46.9,74.9,23.9,7.9
63.8,10.1,78.4,23.7,52.4,76.3,17.5,10.3
66.6,8.1,80.8,22.7,55.3,77.3,22.5,5.9
64,8.7,72,23.8,52.4,76.2,20.6,8.9
66.1,8.4,84.6,20.2,49.3,79.8,23.6,6.3
62,8.4,78.6,27,51.6,73,13.5,12.1
65.3,10.6,77.5,25.3,39,74.7,17.3,9.6
62.8,8.2,70.4,20.4,40.1,79.6,26.2,8.1
58,11.3,75.1,24.9,36.6,75.1,22.8,7.7
60.6,9.2,84.8,21.3,35.9,78.7,27.9,9.3
58.6,8.7,78.9,27.6,36.5,72.4,24.3,9.5
69.8,7.9,73.6,19.3,31.6,80.7,21.2,7
61.5,11.3,76.8,26.1,33.8,73.9,20.2,8
54.3,10.4,77.4,24.7,47.7,75.3,25.4,6
59.2,14.6,79.6,24,35.1,76,26,8
59.1,13.7,75.1,28.5,37.7,71.5,23.8,8
63.3,10.2,80.6,24.6,42.7,75.4,19.7,8.3
63.8,11.2,78.8,28.8,27.3,71.2,20.9,8.6
65.7,8.6,73.4,25.6,38.8,74.4,20.3,8.4
66,9,76.9,22.4,52.5,77.6,21.2,7.9
64.2,7.4,84.6,23.6,49.5,76.4,14.2,9.2
62,11,79.6,28.8,36.3,71.2,19.3,9.5
65.6,8.2,74.1,23.3,32.5,76.7,19.6,8.2
63.7,13.2,82.1,26,27.6,74,20.3,9.6
64.2,9.7,85.4,25.1,30.1,74.9,20.6,9
67.1,5.9,78.1,16.6,49.3,83.4,25.3,5.5
69.9,10.6,72.5,20.3,39.1,79.7,17.2,10.2
55.7,8.5,72.2,20.1,41.1,79.9,27.5,6.1
60.3,11.5,82.4,29.1,28.8,70.9,18.9,9.9
